"Company.Name","Account.Number","Country","Reporting.Year","Ticker.Symbol","ISIN","Disclosure.Score","Performance.Band","Parent.Account","Permission","Response.Status","Scope.1..metric.tonnes.CO2e.","Scope.2..metric.tonnes.CO2e.","Country.Location"
"CSX Corporation",4120,"USA",2013,"CSX US","US1264081035",95,"A","","Public","AQ*",5268905,300170,"(37.09024, -95.712891)"
"3M Company",285,"USA",2013,"MMM US","US88579Y1010",70,"D","","Public","AQ*",4540000,2230000,"(37.09024, -95.712891)"
"Prudential Financial, Inc.",15306,"USA",2013,"PRU US","US7443201022",63,"C","","Public","AQ*",5090,70613,"(37.09024, -95.712891)"
"The Home Depot, Inc.",8526,"USA",2013,"HD US","US4370761029",99,"A-","","Public","AQ*",250224,2529646,"(37.09024, -95.712891)"
"Las Vegas Sands Corporation",10494,"USA",2013,"LVS US","US5178341070",98,"A-","","Public","AQ*",225157,821527,"(37.09024, -95.712891)"
"Bank of America",1452,"USA",2013,"BAC US","US0605051046",98,"A","","Public","AQ*",116666,1421829,"(37.09024, -95.712891)"
"American International Group, Inc.",699,"USA",2013,"AIG US","US0268747849",62,"D","","Not public","AQ*",NA,NA,"(37.09024, -95.712891)"
"Mondelez International Inc",42037,"USA",2013,"MDLZ US","",91,"B","","Public","AQ*",1075761,954755,"(37.09024, -95.712891)"
"FedEx Corporation",6287,"USA",2013,"FDX US","US31428X1063",80,"B","","Public","AQ*",14602697,959109,"(37.09024, -95.712891)"
"Union Pacific Corporation",19845,"USA",2013,"UNP US","US9078181081",98,"B","","Public","AQ*",11595509,407176,"(37.09024, -95.712891)"
"Duke Energy Corporation",5052,"USA",2013,"DUK US","US26441C2044",67,"C","","Public","AQ*",123430000,NA,"(37.09024, -95.712891)"
"Franklin Resources, Inc.",6684,"USA",2013,"BEN US","US3546131018",86,"C","","Public","AQ*",8175,29552,"(37.09024, -95.712891)"
"Medtronic, Inc.",11651,"USA",2013,"MDT US","US5850551061",61,"D","","Public","AQ*",31460,170685,"(37.09024, -95.712891)"
"Kimberly-Clark Corporation",10148,"USA",2013,"KMB US","US4943681035",72,"C","","Public","AQ*",2461675,2967804,"(37.09024, -95.712891)"
"Thermo Fisher Scientific Inc.",19016,"USA",2013,"TMO US","US8835561023",75,"D","","Public","AQ*",64863,297992,"(37.09024, -95.712891)"
"Norfolk Southern Corp.",13425,"USA",2013,"NSC US","US6558441084",90,"B","","Public","AQ*",4925238,252854,"(37.09024, -95.712891)"
"Chevron Corporation",3191,"USA",2013,"CVX US","US1667641005",97,"A-","","Public","AQ*",58559220,3849319,"(37.09024, -95.712891)"
"Twenty-First Century Fox",13126,"USA",2013,"FOX US","",97,"A-","","Public","AQ*",62360,376022,"(37.09024, -95.712891)"
"Newmont Mining Corporation",13117,"USA",2013,"NEM US","US6516391066",92,"B","","Public","AQ*",4016150,1182740,"(37.09024, -95.712891)"
"Google Inc.",7616,"USA",2013,"GOOG US","US38259P5089",93,"B","","Public","AQ*",37187,1149988,"(37.09024, -95.712891)"
"Microsoft Corporation",11930,"USA",2013,"MSFT US","US5949181045",96,"A","","Public","AQ*",48516,1207419,"(37.09024, -95.712891)"
"Adobe Systems, Inc.",333,"USA",2013,"ADBE US","US00724F1012",97,"A","","Public","AQ*",2744,22995,"(37.09024, -95.712891)"
"The Coca-Cola Company",3564,"USA",2013,"KO US","US1912161007",90,"A-","","Public","AQ*",2551626,1138377,"(37.09024, -95.712891)"
"Bristol-Myers Squibb",2191,"USA",2013,"BMY US","US1101221083",96,"B","","Public","AQ*",269734,262565,"(37.09024, -95.712891)"
"State Street Corporation",17690,"USA",2013,"STT US","US8574771031",87,"C","","Public","AQ*",10009.07,98756,"(37.09024, -95.712891)"
"Lowe's Companies, Inc.",11017,"USA",2013,"LOW US","US5486611073",85,"D","","Public","AQ*",303721,2552740,"(37.09024, -95.712891)"
"General Electric Company",7166,"USA",2013,"GE US","US3696041033",72,"C","","Public","AQ*",1970000,2905000,"(37.09024, -95.712891)"
"Oracle Corporation",14013,"USA",2013,"ORCL US","US68389X1054",79,"C","","Public","AQ*",16481,440773,"(37.09024, -95.712891)"
"Marsh & McLennan Companies, Inc.",11383,"USA",2013,"MMC US","US5717481023",98,"B","","Public","AQ*",3429.21,97423.43,"(37.09024, -95.712891)"
"Dow Chemical Company",4826,"USA",2013,"DOW US","US2605431038",90,"B","","Public","AQ*",27429000,8403000,"(37.09024, -95.712891)"
"JPMorgan Chase & Co.",9871,"USA",2013,"JPM US","US46625H1005",91,"B","","Public","AQ*",83343,1219748,"(37.09024, -95.712891)"
"Colgate Palmolive Company",3551,"USA",2013,"CL US","US1941621039",99,"B","","Public","AQ*",232574,435061,"(37.09024, -95.712891)"
"Honeywell International Inc.",8553,"USA",2013,"HON US","US4385161066",74,"B","","Public","AQ*",5532844,1756275,"(37.09024, -95.712891)"
"Halliburton Company",8027,"USA",2013,"HAL US","US4062161017",65,"D","","Public","AQ*",4211808,839363,"(37.09024, -95.712891)"
"ConocoPhillips",3751,"USA",2013,"COP US","US20825C1045",83,"B","","Public","AQ*",24171000,1638000,"(37.09024, -95.712891)"
"AT&T Inc.",1113,"USA",2013,"T US","US00206R1023",96,"B","","Public","AQ*",948441,7894626,"(37.09024, -95.712891)"
"Abbott Laboratories",64,"USA",2013,"ABT US","US0028241000",84,"B","","Public","AQ*",470781,537821,"(37.09024, -95.712891)"
"Goldman Sachs Group Inc.",7599,"USA",2013,"GS US","US38141G1040",98,"A","","Public","AQ*",14559,276815,"(37.09024, -95.712891)"
"Eli Lilly & Co.",5377,"USA",2013,"LLY US","US5324571083",86,"B","","Public","AQ*",415040,1160941,"(37.09024, -95.712891)"
"Eaton Corporation",5194,"USA",2013,"ETN US","IE00B8KQN827",100,"A-","","Public","AQ*",105382,637346,"(37.09024, -95.712891)"
"Baxter International Inc.",1574,"USA",2013,"BAX US","US0718131099",82,"B","","Public","AQ*",345000,445000,"(37.09024, -95.712891)"
"Exxon Mobil Corporation",6136,"USA",2013,"XOM US","US30231G1022",80,"B","","Public","AQ*",1.32e+08,1.4e+07,"(37.09024, -95.712891)"
"Allstate Corporation",582,"USA",2013,"ALL US","US0200021014",96,"B","","Public","AQ*",40796,150401,"(37.09024, -95.712891)"
"Target Corporation",18320,"USA",2013,"TGT US","US87612E1064",91,"B","","Public","AQ*",527047,2489866,"(37.09024, -95.712891)"
"American Electric Power Company, Inc.",689,"USA",2013,"AEP US","US0255371017",68,"D","","Public","AQ*",121927400,NA,"(37.09024, -95.712891)"
"Automatic Data Processing, Inc.",1203,"USA",2013,"ADP US","US0530151036",83,"C","","Public","AQ*",15500,157100,"(37.09024, -95.712891)"
"MetLife, Inc.",11796,"USA",2013,"MET US","US59156R1086",92,"A-","","Not public","AQ*",NA,NA,"(37.09024, -95.712891)"
"Cisco Systems, Inc.",3329,"USA",2013,"CSCO US","US17275R1023",100,"A","","Public","AQ*",65832,628164,"(37.09024, -95.712891)"
"Yum! Brands, Inc.",20917,"USA",2013,"YUM US","US9884981013",92,"B","","Public","AQ*",156510,2377372,"(37.09024, -95.712891)"
"Illinois Tool Works, Inc.",8858,"USA",2013,"ITW US","US4523081093",79,"C","","Not public","AQ*",NA,NA,"(37.09024, -95.712891)"
"Ford Motor Company",6595,"USA",2013,"F US","US3453708600",72,"C","","Public","AQ*",1698799,3440338,"(37.09024, -95.712891)"
"Hewlett-Packard",23195,"USA",2013,"HPQ US","US4282361033",99,"A","","Public","AQ*",246000,1643000,"(37.09024, -95.712891)"
"Sysco Corporation",18155,"USA",2013,"SYY US","US8718291078",66,"C","","Public","AQ*",788200,336857,"(37.09024, -95.712891)"
